customer_id,first_name,last_name,country,age,gender,income_level,Winning_percentage,Days_Since_Last_Bet,Active_Days,Total_Number_of_Bets,Total_Amount_Wagered,Average_Bet_Amount,Number_of_Bonuses_Received,Amount_of_Bonuses_Received,Revenue_from_Bonuses,Increase_in_Bets_After_Bonus,Increase_in_wagering_after_Bonus,Should_Receive_Bonus
9936,Misty,Brown,Luxembourg,37,Male,24678,54,9,293,37,95151,998,100,1000,5000,500,50000,0
4237,Cynthia,Ford,South Georgia and the South Sandwich Islands,26,Male,121168,38,14,300,42,94933,994,100,1000,5000,500,50000,1
5609,Cynthia,Munoz,Nicaragua,74,Male,60929,33,7,148,28,89927,995,100,1000,5000,500,50000,0
2456,Angela,Anderson,Saint Martin,62,Male,32434,16,35,336,31,94270,997,100,1000,5000,500,50000,0
8815,Jason,Myers,American Samoa,32,Female,68083,16,19,141,39,98939,991,100,1000,5000,500,50000,0
7534,Rachel,Harris,Congo,47,Male,137757,29,16,256,48,88466,987,100,1000,5000,500,50000,1
6052,Rhonda,Hensley,Christmas Island,29,Female,82996,70,11,343,31,95442,996,100,1000,5000,500,50000,1
2394,Cassidy,Gomez,San Marino,32,Male,23823,32,20,329,41,97800,991,100,1000,5000,500,50000,1
7528,Jody,Edwards,Western Sahara,36,Male,143130,24,8,235,39,93816,998,100,1000,5000,500,50000,0
5285,Ashley,Jones,Congo,80,Female,81637,19,26,314,43,95505,992,100,1000,5000,500,50000,1
4727,Andrew,Peterson,India,26,Male,128296,61,10,97,20,78771,964,99,1000,5000,500,50000,1
7135,Robin,Eaton,Montenegro,64,Male,26989,22,18,199,47,89555,988,100,1000,5000,500,50000,1
7080,Lacey,Nichols,Portugal,49,Female,46011,31,6,249,35,92917,1000,100,1000,5000,500,50000,0
7859,Dennis,Freeman,Lithuania,52,Male,22975,68,7,285,35,93762,999,100,1000,5000,500,50000,0
3836,Seth,Lin,Croatia,58,Male,26679,78,26,300,45,92805,991,100,1000,5000,500,50000,1
5261,George,Torres,Montserrat,49,Female,49662,8,18,228,49,86589,983,100,1000,5000,500,50000,1
8834,Benjamin,Marshall,China,53,Female,71015,20,23,307,45,93695,991,100,1000,5000,500,50000,1
4528,Michael,Gilbert,Malawi,21,Male,26630,38,1,358,10,38516,649,87,962,4921,500,49860,1
4659,Anthony,Johnson,Equatorial Guinea,71,Female,102965,40,3,271,28,86152,994,100,1000,5000,500,50000,1
3939,David,Little,Sweden,60,Male,25984,33,11,278,42,94157,996,100,1000,5000,500,50000,0
7191,Cynthia,Newman,Puerto Rico,74,Male,139680,79,28,358,33,98786,992,100,1000,5000,500,50000,1
5490,Jonathan,Meyer,Burundi,80,Male,97381,22,33,184,41,95119,996,100,1000,5000,500,50000,0
4714,Julie,Cline,Monaco,25,Male,55386,23,31,148,37,97904,994,100,1000,5000,500,50000,0
1345,Brian,Jackson,Comoros,43,Female,124803,40,13,242,46,90757,992,100,1000,5000,500,50000,1
7250,Theresa,Oliver,Netherlands Antilles,25,Female,97040,26,23,228,50,85307,980,100,1000,5000,500,50000,1
4237,Cynthia,Ford,South Georgia and the South Sandwich Islands,26,Male,121168,12,12,322,37,97165,995,100,1000,5000,500,50000,0
7681,Brandon,Welch,Pitcairn Islands,77,Female,41032,27,10,365,25,87404,988,100,1000,5000,500,50000,1
7964,Beverly,Glover,Egypt,46,Female,32775,32,28,314,42,96024,993,100,1000,5000,500,50000,1
2256,Bonnie,Stein,Fiji,51,Female,45034,45,2,249,27,83631,989,100,1000,5000,500,50000,1
3678,Kevin,Wilson,Dominica,58,Male,21215,63,3,220,29,86885,995,100,1000,5000,500,50000,1
8890,Edward,Martin,Germany,75,Male,58008,8,38,249,37,93291,999,100,1000,5000,500,50000,0
7500,William,Harris,Cape Verde,74,Female,31463,63,25,307,45,93921,992,100,1000,5000,500,50000,1
9730,Ashley,Tran,Finland,46,Male,69494,8,31,285,44,93253,994,100,1000,5000,500,50000,1
9281,Darren,Jackson,Netherlands Antilles,60,Female,96639,56,38,90,13,54883,816,96,992,4982,500,49988,1
9429,Melissa,Lee,Czech Republic,49,Male,27650,14,11,162,37,96603,996,100,1000,5000,500,50000,0
1905,Anna,Summers,Thailand,43,Male,129735,17,17,141,38,98899,991,100,1000,5000,500,50000,0
4052,Alice,Reed,Nepal,24,Male,59738,45,7,285,35,93762,999,100,1000,5000,500,50000,0
3354,Barry,Jennings,Lithuania,74,Female,63006,30,15,220,47,89423,989,100,1000,5000,500,50000,1
7135,Robin,Eaton,Montenegro,64,Male,26989,57,27,90,25,91268,989,100,1000,5000,500,50000,1
4762,Tammie,Brewer,Bangladesh,72,Male,103933,28,23,162,44,95339,992,100,1000,5000,500,50000,1
9707,Ryan,Ford,Thailand,27,Female,42390,57,36,90,16,66734,904,99,998,4996,500,49999,1
3055,Julia,Greene,Belarus,59,Male,60455,54,10,322,35,95986,997,100,1000,5000,500,50000,0
8410,Richard,Mitchell,Denmark,21,Female,90093,62,30,170,42,95743,994,100,1000,5000,500,50000,1
3688,Isaac,Rodriguez,Norway,42,Male,124567,27,9,213,40,94123,997,100,1000,5000,500,50000,0
6292,James,Yates,Cayman Islands,51,Female,44422,15,8,322,32,93406,998,100,1000,5000,500,50000,0
4398,Jose,Mason,Bulgaria,21,Female,80451,63,5,256,33,91595,1000,100,1000,5000,500,50000,0
3346,Courtney,Morgan,Bangladesh,49,Male,29630,8,8,199,37,94434,998,100,1000,5000,500,50000,0
5609,Cynthia,Munoz,Nicaragua,74,Male,60929,15,31,278,44,92424,993,100,1000,5000,500,50000,1
5380,Joshua,Tate,North Macedonia,74,Female,145454,41,38,220,36,93320,1000,100,1000,5000,500,50000,0
6942,Sharon,Baldwin,Mongolia,39,Female,144171,25,13,314,39,96834,994,100,1000,5000,500,50000,0
7205,Douglas,Bennett,Palestinian Territory,42,Female,41810,61,19,133,38,99559,990,100,1000,5000,500,50000,1
3450,Brooke,Wright,Norfolk Island,62,Female,22489,75,28,104,29,95922,992,100,1000,5000,500,50000,1
5705,Abigail,Lloyd,Iraq,57,Female,101795,62,35,148,32,94970,997,100,1000,5000,500,50000,1
