customer_id,customer_name,age,income_level,days_since_last_purchase,active_days,total_number_of_purchases,total_amount_spent,avg_amount_spent,days_since_first_purchase,purchase_frequency,last_purchase_amount,seasonal_purchase_behavior,refunds,location,bonus_amount_received
1,Kyle Rogers,18,Medium,365,217,100,45652.5684119765,456.525684119765,877,0.7063522934499387,2987.613717989898,0,5,Rural,24.826284205988248
2,Brian Schwartz,39,Low,365,258,2653,4277.094805400634,1.6121729383342005,911,1.4801410677136602,388.02359158775,0,0,Suburban,55.19854740270032
3,Brooke Hoffman,30,Low,1,250,476,48111.691777013635,101.07498272481857,96,1.67842606705704,176.329615611678,0,0,Urban,33.57584588850682
4,Thomas Allen,18,Medium,365,77,100,47829.067377258405,478.29067377258406,702,1.5116692447697047,2325.794544067974,0,4,Urban,25.914533688629202
5,Joshua Lopez,61,Medium,365,312,948,15231.434496303129,16.066914025636212,836,0.7310403505344101,1578.7177412400422,0,2,Urban,26.575717248151566
6,Becky Cunningham,32,Medium,186,354,566,64759.30647685907,88.33922261484099,540,1.1837601989768616,791.1425398060131,1,2,Rural,36.32
7,Madison Holmes,28,Low,365,303,544,13954.354274746864,25.651386534461146,796,1.701545982934976,591.8615778809653,0,3,Rural,17.857177137373434
8,Michael Nelson,56,High,1,263,1731,36486.692765871296,16.27440977945209,23,1.6117340121399613,1305.2944497120466,1,5,Rural,48.70550166411578
9,Bobby Elliott,20,Low,365,250,2329,31841.41015902139,13.671708956213564,705,1.6798402429191102,4573.784623549311,0,3,Rural,62.500705079510695
10,Thomas Hernandez,20,High,365,172,1790,39529.53897121501,22.083541324701123,889,1.6430352687366354,562.2569170771552,0,2,Urban,55.56476948560751
11,Justin Mitchell,41,High,365,131,592,1076.7040244777716,1.8187567981043438,981,1.2336662749955496,504.47117174739645,0,5,Suburban,12.378352012238885
12,James Lane,52,Medium,365,292,478,8136.132725020907,13.141893494166833,811,1.0411365200216411,3559.340822642175,1,1,Suburban,12.700912545105874
13,Megan Greene,50,Medium,365,242,100,9929.47260440049,99.29472604400489,957,0.7105556978976728,353.9706716410001,0,3,Suburban,6.964736302200245
14,Kimberly Bernard,34,Low,1,218,2157,46843.55000323884,16.767467391525784,9,1.270129329916024,3060.940872881008,1,1,Suburban,61.22371358176056
15,Melanie Mendoza,25,Low,365,239,100,1253.924973998761,12.53924973998761,643,1.2200865349738497,2245.502233705382,0,2,Suburban,2.6269624869993806
16,Daniel Smith,63,High,10,102,1402,15485.222984420416,11.045094853366916,112,0.861988735102776,4091.733558532865,0,5,Rural,35.78261149221021
17,Mary Rivas,70,Medium,1,325,1273,42495.976396654834,25.77432044475955,197,1.5892386432324181,4171.506623274102,1,0,Suburban,41.86535496308946
18,Elizabeth Horne,54,High,1,98,3545,64759.30647685907,14.104372355430183,30,0.7674282291264319,1971.9493066991329,1,2,Suburban,95.9
19,Erica Gardner,41,High,146,185,1095,5939.613250630477,5.424304338475321,331,1.9837293256300266,4595.6001695254945,0,4,Urban,24.869806625315242
20,Christopher Richmond,51,Medium,335,92,1312,10880.677842226056,6.403094802930673,427,1.5247958233321839,937.8203969581224,1,2,Urban,30.440430190722523
21,Cameron Tapia,34,Medium,283,226,2706,50000.0,18.477457501847745,509,0.8890305796670641,4665.385892997654,0,4,Urban,79.12
22,Linda Sullivan,42,Low,365,150,100,16381.23377840539,126.4778351529986,569,0.6548542902734721,3423.203282967907,1,1,Urban,8.323891757649932
23,Wesley Tate,33,High,63,98,2532,5410.457492893783,2.1368315532755857,161,1.6894217554043218,3239.4450620226253,0,2,Urban,53.34522874644689
24,Tamara Fox,37,Low,1,273,2707,2385.1097228696963,0.6802803433429692,250,1.2448630730771106,4466.530467154946,1,5,Suburban,55.06075944471471
25,David Taylor,42,High,364,173,3014,3605.168007467827,1.1961406793191198,537,0.6504084833311421,4008.696106937362,0,2,Suburban,62.08258400373391
26,Valerie Smith,44,Medium,78,132,100,10209.288142562511,102.09288142562511,210,1.181864574045645,2983.1044612110763,0,2,Suburban,7.104644071281256
27,David Vargas,35,Medium,1,201,1631,17494.117905922143,8.281440833219186,192,0.6880056039514445,483.69543201922096,1,1,Suburban,39.37351499949025
28,Cory White,65,High,216,237,100,64759.30647685907,500.0,453,1.416767642099475,4585.915901211391,1,1,Urban,27.0
29,Cynthia Taylor,37,Medium,190,363,100,50752.547442614836,391.85524215543154,553,0.6313134141714308,4854.869051484613,1,3,Rural,21.592762107771577
30,Donna Wallace,50,Medium,197,75,2685,17637.980330517254,6.56908019758557,272,1.8970792256710034,2032.223540363274,0,2,Urban,62.51899016525863
31,Ashlee Smith,56,High,1,172,2746,50000.0,18.20830298616169,45,1.2329392098677716,1601.3364299224274,0,4,Rural,79.92
32,Kristen Collins,60,Medium,365,134,2473,9364.294673080352,2.923605500737889,913,1.2035728561598793,4552.811926738232,1,4,Rural,53.0750382016624
33,Joshua Richardson,19,Low,365,295,1494,14565.70521519923,7.527464812344861,768,1.0988465198559656,1331.5814509074776,1,3,Suburban,35.50301621482161
34,Sherry Cantrell DVM,47,High,1,237,1339,54230.01007469563,31.269931026447612,56,0.5124971462790407,4299.997944527241,1,0,Suburban,47.71521882220668
35,Benjamin Ochoa,51,Medium,1,325,100,5911.55592937342,45.64252036489799,159,1.2231312855614853,2360.5152869451813,1,5,Suburban,4.2821260182449
36,Eric Thomas,45,Medium,102,335,100,62254.72982262704,480.66241911402335,437,1.4267572422148544,700.5782145808768,1,1,Urban,26.03312095570117
37,Ashley Kaiser,35,Medium,365,239,123,64759.30647685907,406.5040650406504,763,1.3176789620143503,1505.8477378026523,1,4,Suburban,27.46
38,Jennifer Case,60,Medium,320,149,2183,8333.49188980518,2.947413691397758,469,1.4024657725210217,4738.777705442245,1,3,Rural,46.87710204416066
39,Christian Banks,30,Medium,1,357,2354,500000.0,21.240441801189466,211,1.6207590201271818,4179.794242097413,0,2,Suburban,72.08
40,Adam Garner,45,High,170,274,4276,42458.0112169517,9.92937586925905,444,1.789004211503903,973.0426288792266,0,5,Urban,106.74900560847584
41,Jessica Park,36,Medium,365,158,2225,50000.0,22.471910112359552,628,1.7800334579357004,2216.771880060442,0,3,Suburban,69.5
42,Timothy Velez,51,Low,1,51,661,500000.0,75.642965204236,29,1.7629402976299287,3691.590295524916,0,5,Rural,38.22
43,Jill Rivera,52,Low,365,68,1839,30691.535182355143,16.689252410198556,624,0.5604642175075782,265.57664876664114,0,2,Rural,52.12576759117758
44,Corey Robinson,18,Medium,27,280,904,35645.6049234192,30.44425661945421,307,1.353791242959206,2788.594055249544,1,3,Suburban,31.840803991993305
45,Thomas Holland,18,Low,365,211,100,16969.652563622443,131.02095657622843,801,1.991927183112833,212.72610695974785,1,3,Urban,8.551047828811424
46,Charles Meyer,36,Low,139,217,1892,27295.384316177217,11.138735636131928,356,1.2134502365416333,1897.7323857968613,1,3,Urban,48.37724391178081
47,David Fisher,34,Medium,365,50,648,18709.73012017084,28.873040308905615,626,1.0790062212328535,1039.250841886721,0,5,Suburban,22.314865060085424
48,Eileen Leach,45,Low,88,274,100,3925.0756611057186,30.305108830252028,362,1.3995119293207992,2062.3528923596923,1,4,Rural,3.5152554415126014
49,Audrey Lozano,50,Medium,365,88,100,64759.30647685907,500.0,658,0.8191247911747302,4834.768947977351,1,5,Suburban,27.0
50,Sue Clark,22,High,365,133,221,880.9343376400105,3.9861282246154324,520,0.7584787820099679,275.1465102390425,0,3,Rural,4.860467168820005
51,Patricia Fitzgerald,28,Medium,83,42,657,9256.801471300934,14.089499956318013,125,0.5280617894498927,2334.3963201696147,0,5,Suburban,17.768400735650467
52,Natalie Brown,39,Low,365,342,2048,6177.791087301843,2.3290085382743495,739,1.5893109589176349,1986.7525073937113,1,1,Rural,43.344904743192934
53,Ms. Gina Cummings MD,70,Medium,226,68,5000,7665.204820065349,1.5330409640130698,294,1.9522076158976764,1441.9734833179623,0,0,Suburban,103.83260241003268
54,Frank Smith,18,Medium,1,340,2123,18518.589337888377,6.7348157994426545,210,0.5801481318041115,490.47602145846093,1,5,Suburban,49.60900697110838
55,Michael Garcia,41,Low,365,62,1305,2640.171169934186,2.023119670447652,596,1.1122636298167468,1426.2733745729656,0,5,Suburban,27.420085584967094
56,Jason Madden,47,High,212,186,893,6628.835178330002,5.731305743020702,398,1.3134485066606782,4833.196489593336,1,2,Suburban,20.419028014258743
57,Mark Velasquez,52,Low,365,106,3046,56908.93260694375,14.425084178311677,812,1.8781103147660005,1004.0045710024457,1,5,Suburban,82.88940320356869
58,Anna Sanchez,40,Low,1,267,109,41725.34992150106,295.5570374764626,152,0.6400592524480879,813.7687381892379,1,1,Rural,18.287858542467212
59,Jonathan Mason,37,Medium,365,287,100,36502.693052045746,365.0269305204575,777,1.6484536446163196,2605.9970853697123,0,2,Suburban,20.251346526022875
60,Kenneth Walker,44,Medium,365,355,100,6279.503330742273,62.79503330742273,720,1.3973506139091372,2137.12252058343,0,5,Rural,5.139751665371136
61,Carl Williams,41,Medium,152,106,555,50000.0,90.09009009009009,258,1.2985747503366778,2599.8935859239214,0,1,Suburban,36.1
62,Steve Logan,40,Medium,365,309,100,6221.593316829371,62.21593316829372,992,0.7412812849954203,2765.0545015131343,0,4,Suburban,5.110796658414685
63,Dawn Mosley,51,Low,110,205,100,50000.0,500.0,315,1.9927302706497176,62.701865698404134,0,0,Rural,27.0
64,Timothy Becker,25,Low,171,56,1003,50000.0,49.85044865403788,227,1.0647470091009135,1345.784581624173,0,4,Rural,45.06
65,Rhonda Pierce,36,Medium,222,236,1254,9506.964267554677,7.581311218145675,458,1.972606368696972,1765.5635220693805,0,2,Rural,29.83348213377734
66,Dustin Robinson,56,High,361,163,4154,28647.556618598435,6.896378579344833,524,0.6205061867512516,1330.0768165109225,0,0,Urban,97.40377830929921
67,Anthony Johnson,40,Medium,1,320,2244,4983.554847929142,2.220835493729564,139,1.116133355586617,1572.6754798609206,0,2,Urban,47.37177742396457
68,David Baxter,36,High,365,327,100,19293.433969751957,148.96263579232607,759,0.6123428914710893,1289.2669700951585,1,3,Suburban,9.448131789616303
69,Christina Owens,26,High,365,168,100,9231.829859769106,92.31829859769107,755,0.8024141675231258,1339.757629447865,0,5,Suburban,6.615914929884553
70,Alexander Hawkins,35,High,365,46,118,57313.69155367772,375.0111581479475,533,1.7796122523540074,3963.166967745812,1,4,Suburban,24.485658330728906
71,Maria Huff,43,Medium,365,350,3091,647.5930647685907,0.16175994823681655,752,0.9246360888169027,1385.2932430302324,1,2,Rural,62.07
72,Anthony Valenzuela,43,Low,311,363,2890,9870.34339453522,3.4153437351332943,674,1.928898641376272,4820.471783340153,0,0,Rural,62.73517169726762
73,Katherine Adams,50,High,365,272,1818,8748.499360300671,3.7154164594638677,714,0.5811343111468872,1733.7601282713033,1,1,Suburban,39.737313561652655
74,Amy Hayes,47,High,1,309,100,1710.3096050803947,17.10309605080395,155,0.5766603252975504,754.7486966382869,0,2,Urban,2.8551548025401976
